samp,var,alg,val1,val2

b234,iden,umap,0.1,10
b234,iden,db,0.1,150
b234,epi,umap,0.1,10
b234,epi,db,0.1,160
b234,all,umap,0.1,10
b234,all,db,0.1,200

b23ad,iden,umap,0.1,10
b23ad,iden,db,0.1,170
b23ad,epi,umap,0.1,10
b23ad,epi,db,0.13,120
b23ad,all,umap,0.1,10
b23ad,all,db,0.1,180

b23,iden,umap,0.1,10
b23,iden,db,0.1,200
b23,epi,umap,0.1,10
b23,epi,db,0.1,160
b23,all,umap,0.1,10
b23,all,db,0.1,160

b4,iden,umap,0.1,10
b4,iden,db,0.12,180
b4,epi,umap,0.1,10
b4,epi,db,0.17,270
b4,all,umap,0.1,10
b4,all,db,0.13,120

#need calibrate
b3,iden,umap,0.1,10
b3,iden,db,0.2,70
b3,epi,umap,0.1,10
b3,epi,db,0.2,70
b3,all,umap,0.1,10
b3,all,db,0.2,70

#need calibrate
b2,iden,umap,0.1,10
b2,iden,db,0.2,70
b2,epi,umap,0.1,10
b2,epi,db,0.2,70
b2,all,umap,0.1,10
b2,all,db,0.2,70

15.3,iden,umap,0.1,10
15.3,iden,db,0.17,60
15.3,epi,umap,0.1,10
15.3,epi,db,0.155 ,55
15.3,all,umap,0.1,10
15.3,all,db,0.17,150

15,iden,umap,0.1,10
15,iden,db,0.17,60
15,epi,umap,0.1,10
15,epi,db,0.155 ,55
15,all,umap,0.1,10
15,all,db,0.17,150

14.3,iden,umap,0.1,10
14.3,iden,db,0.16,170
14.3,epi,umap,0.1,10
14.3,epi,db,0.13,30
14.3,all,umap,0.1,10
14.3,all,db,0.17,90

14.2,iden,umap,0.1,10
14.2,iden,db,0.16,170
14.2,epi,umap,0.1,10
14.2,epi,db,0.13,30
14.2,all,umap,0.1,10
14.2,all,db,0.17,90

14,iden,umap,0.1,10
14,iden,db, 0.14 ,110
14,epi,umap,0.1,10
14,epi,db,0.17,65
14,all,umap,0.1,10
14,all,db,0.17,60

13.3,iden,umap,0.1,10
13.3,iden,db,0.16 ,120
13.3,epi,umap,0.1,10
13.3,epi,db, 0.165 ,60
13.3,all,umap,0.1,10
13.3,all,db,0.17,130

13,iden,umap,0.1,10
13,iden,db,0.16 ,120
13,epi,umap,0.1,10
13,epi,db, 0.165 ,60
13,all,umap,0.1,10
13,all,db,0.17,130

11,iden,umap,0.1,10
11,iden,db,0.11,70
11,epi,umap,0.1,10
11,epi,db,0.17 ,75
11,all,umap,0.1,10
11,all,db,0.2,170


8,iden,umap,0.1,10
8,iden,db,0.18,120
8,epi,umap,0.1,10
8,epi,db,0.18,40
8,all,umap,0.1,10
8,all,db,0.165 ,115

7,iden,umap,0.1,10
7,iden,db,0.16,85
7,epi,umap,0.1,10
7,epi,db,0.19 ,85
7,all,umap,0.1,10
7,all,db,0.17,105

7.3,iden,umap,0.1,10
7.3,iden,db,0.16,95
7.3,epi,umap,0.1,10
7.3,epi,db,0.18,85
7.3,all,umap,0.1,10
7.3,all,db,0.17,130

7.1,iden,umap,0.1,10
7.1,iden,db,0.16,95
7.1,epi,umap,0.1,10
7.1,epi,db,0.18,85
7.1,all,umap,0.1,10
7.1,all,db,0.17,130

4.1,iden,umap,0.1,10
4.1,iden,db,0.19,70
4.1,epi,umap,0.1,10
4.1,epi,db,0.18,85
4.1,all,umap,0.1,10
4.1,all,db,0.16,65

5,iden,umap,0.1,10
5,iden,db,0.18,90
5,epi,umap,0.1,10
5,epi,db,0.15,50
5,all,umap,0.1,10
5,all,db,0.17,135

4,iden,umap,0.1,10
4,iden,db,0.2,70
4,epi,umap,0.1,10
4,epi,db,0.18,70
4,all,umap,0.1,10
4,all,db, 0.16,50

#need calibrate
2,iden,umap,0.1,10
2,iden,db,0.15,90
2,epi,umap,0.1,10
2,epi,db,0.2,60
2,all,umap,0.1,10
2,all,db,0.2,90

#need calibrate
1,iden,umap,0.1,10
1,iden,db,0.2,40
1,epi,umap,0.1,10
1,epi,db,0.25,50
1,all,umap,0.1,10
1,all,db,0.25,65
